,peak,pred_0,prob_0,pred_1,prob_1,pred_2,prob_2
0,0.93033,Isoleucine,0.999642014503479,2-Hydroxyvalerate,0.00022846664069220424,Pantothenate,8.552861254429445e-05
1,0.93901,Isoleucine,0.9989578723907471,Leucine,0.0009384899167343974,Valine,6.489465886261314e-05
2,0.94186,Pantothenate,0.6098765730857849,Isoleucine,0.29032206535339355,Leucine,0.05231015011668205
3,0.94775,Isoleucine,0.9998716115951538,Leucine,9.159948967862874e-05,Pantothenate,2.597671300463844e-05
4,0.95217,Leucine,0.9981790781021118,Isoleucine,0.0012869152706116438,Valine,0.0004939391510561109
5,0.95944,Leucine,0.9983288645744324,Valine,0.0013405167264863849,Isoleucine,0.0003094936837442219
6,0.96335,Leucine,0.9995941519737244,Valine,0.00035111664328724146,Isoleucine,4.439696203917265e-05
7,0.9705,Leucine,0.9953967928886414,Valine,0.004288253840059042,Isoleucine,0.0002896414662245661
8,0.98512,Valine,0.9998345375061035,Isoleucine,0.00014975605881772935,Leucine,1.089875240722904e-05
9,0.99338,Valine,0.9983189702033997,Isoleucine,0.0016547515988349915,Leucine,1.3165555174055044e-05
10,1.00571,Isoleucine,0.9987905621528625,Valine,0.0010572997853159904,Leucine,3.762010237551294e-05
11,1.01401,Isoleucine,0.9976136684417725,Valine,0.002175395144149661,Leucine,4.143395199207589e-05
12,1.0377,Valine,0.9999840259552002,Propylene_glycol,1.228784731210908e-05,Isoleucine,1.193729076476302e-06
13,1.04598,Valine,0.9999473094940186,Propylene_glycol,4.5712251449003816e-05,Isoleucine,1.5695696902184864e-06
14,1.17672,Ethanol,0.9843824505805969,Isopropanol,0.014650534838438034,3-Hydroxybutyrate,0.000865643669385463
15,1.18501,Ethanol,0.6307101845741272,Isopropanol,0.3399387001991272,3-Hydroxybutyrate,0.02765149436891079
16,1.19335,Ethanol,0.9514561295509338,Isopropanol,0.041904252022504807,3-Hydroxybutyrate,0.006089568138122559
17,1.21328,Ethanol,0.5708364844322205,3-Hydroxyisovalerate,0.31789126992225647,Isopropanol,0.08326872438192368
18,1.32498,Lactate,0.5142890810966492,2-Hydroxyisobutyrate,0.48127108812332153,Threonine,0.0034449617378413677
19,1.33285,Lactate,0.7054197192192078,2-Hydroxyisobutyrate,0.2927006781101227,Threonine,0.001436055637896061
20,1.47557,Alanine,0.9999390840530396,Arginine,3.267085776315071e-05,Glutamate,1.0162354556086939e-05
21,1.48407,Alanine,0.9999572038650513,Arginine,2.161214615625795e-05,Glutamate,7.225229637697339e-06
22,1.72627,Putrescine,0.9997072815895081,Creatinine,0.00011906148574780673,Alanine,5.597803829004988e-05
23,1.72947,Putrescine,0.999811589717865,Creatinine,7.965994154801592e-05,Alanine,3.473963442957029e-05
24,1.91955,Acetate,0.9999452829360962,UDP-N-Acetylglucosamine,4.589715535985306e-05,Putrescine,4.545659976429306e-06
25,2.04086,UDP-N-Acetylglucosamine,0.9999945163726807,Acetate,3.4582139960548375e-06,Methionine,7.162965403040289e-07
26,2.04268,UDP-N-Acetylglucosamine,0.9999881982803345,Acetate,6.053535344108241e-06,Methionine,2.1210103113844525e-06
27,2.05032,UDP-N-Acetylglucosamine,0.999980092048645,Methionine,1.142989731306443e-05,O-Acetylcarnitine,4.932585397909861e-06
28,2.05589,UDP-N-Acetylglucosamine,0.9996662139892578,Methionine,0.00013283458247315139,O-Acetylcarnitine,9.698710346128792e-05
29,2.05884,UDP-N-Acetylglucosamine,0.9996439218521118,Methionine,0.00027662658249028027,O-Acetylcarnitine,6.733575719408691e-05
30,2.06664,UDP-N-Acetylglucosamine,0.9992233514785767,Methionine,0.0005232809926383197,O-Acetylcarnitine,0.0002279768668813631
31,2.06841,UDP-N-Acetylglucosamine,0.9991872906684875,Methionine,0.000578896317165345,O-Acetylcarnitine,0.0002059945254586637
32,2.07649,UDP-N-Acetylglucosamine,0.9933432340621948,Methionine,0.005116033833473921,O-Acetylcarnitine,0.0013279425911605358
33,2.08228,UDP-N-Acetylglucosamine,0.938426673412323,Methionine,0.052421409636735916,O-Acetylcarnitine,0.008327202871441841
34,2.11044,Methionine,0.7817205190658569,O-Acetylcarnitine,0.18532586097717285,O-Acetylcholine,0.031056834384799004
35,2.11599,Methionine,0.725053071975708,O-Acetylcarnitine,0.21740186214447021,O-Acetylcholine,0.05579492822289467
36,2.11916,Methionine,0.6579437851905823,O-Acetylcarnitine,0.2692730724811554,O-Acetylcholine,0.07203341275453568
37,2.12436,Methionine,0.5294632911682129,O-Acetylcarnitine,0.3706468343734741,O-Acetylcholine,0.09856706857681274
38,2.12601,Methionine,0.4891285300254822,O-Acetylcarnitine,0.4032546579837799,O-Acetylcholine,0.10696327686309814
39,2.1284,Methionine,0.49798598885536194,O-Acetylcarnitine,0.2883196771144867,O-Acetylcholine,0.21266354620456696
40,2.13418,Methionine,0.42377638816833496,O-Acetylcholine,0.4071711599826813,O-Acetylcarnitine,0.1684664785861969
41,2.138,O-Acetylcholine,0.502021849155426,Methionine,0.4772046208381653,O-Acetylcarnitine,0.020243888720870018
42,2.1426,O-Acetylcholine,0.5072690844535828,O-Acetylcarnitine,0.28966790437698364,Methionine,0.20017863810062408
43,2.14562,O-Acetylcholine,0.7071363925933838,O-Acetylcarnitine,0.16584016382694244,Methionine,0.1235494464635849
44,2.15177,O-Acetylcholine,0.8745724558830261,Methionine,0.07238856703042984,O-Acetylcarnitine,0.04904402792453766
45,2.16046,O-Acetylcholine,0.8487751483917236,O-Acetylcarnitine,0.11294414103031158,Methionine,0.03479773551225662
46,2.16851,O-Acetylcholine,0.9186242818832397,O-Acetylcarnitine,0.06146547943353653,Methionine,0.014067602343857288
